airport_type,decision_domain,annual_decision_volume,avg_delay_minutes,annual_cost_exposure_gbp_m,customer_experience_impact,regulatory_constraint_level,data_maturity_level,automation_feasibility,sustainability_dependency,cross_stakeholder_dependency
Leisure-Focused Airport,Slot Allocation & Coordination,456,14.0,223.8,3.27,4.5,2.21,3.66,2.81,4.33
Leisure-Focused Airport,Runway & Airfield Utilisation,1130,28.2,195.7,2.8,3.59,3.55,1.45,3.76,2.56
Leisure-Focused Airport,Terminal Capacity & Flow Design,1261,32.3,32.9,4.39,2.03,3.52,1.66,2.7,4.86
Leisure-Focused Airport,Security & Border Processing,1095,4.5,337.2,3.85,2.76,4.23,4.0,4.45,4.62
Leisure-Focused Airport,Gate Allocation & Stand Planning,979,30.4,22.4,3.29,4.38,3.7,1.43,4.42,2.71
Leisure-Focused Airport,Baggage System Capacity,954,24.0,157.8,4.3,2.01,4.07,2.79,3.23,2.84
Leisure-Focused Airport,Ground Handling Resilience,876,17.8,166.9,3.11,2.82,1.51,2.89,2.47,3.35
Leisure-Focused Airport,Commercial Space Allocation,678,17.7,12.2,3.17,2.8,4.5,1.25,3.54,4.89
Leisure-Focused Airport,Non-Aeronautical Revenue Strategy,493,34.1,168.7,4.96,3.88,3.0,3.86,2.98,4.14
Leisure-Focused Airport,Sustainability & Energy Systems,816,23.0,157.0,4.19,2.0,3.08,1.09,2.54,2.09
Leisure-Focused Airport,Data & Digital Platform Governance,150,16.9,441.7,1.89,4.67,4.07,1.9,2.72,3.71
Leisure-Focused Airport,Airline Incentives & Charging Models,984,27.4,402.7,4.32,4.22,4.19,4.52,4.99,2.51
Emerging Market Gateway,Slot Allocation & Coordination,286,37.1,412.7,4.8,4.77,4.38,1.19,4.71,2.81
Emerging Market Gateway,Runway & Airfield Utilisation,1136,20.0,430.3,3.62,3.06,2.62,4.62,4.38,2.41
Emerging Market Gateway,Terminal Capacity & Flow Design,1430,5.6,374.3,3.25,3.86,2.26,3.74,1.63,2.73
Emerging Market Gateway,Security & Border Processing,345,18.3,294.3,2.85,2.75,2.53,1.82,4.52,4.09
Emerging Market Gateway,Gate Allocation & Stand Planning,1103,12.9,412.2,2.08,2.94,1.91,4.42,4.54,2.56
Emerging Market Gateway,Baggage System Capacity,1450,15.0,141.6,3.68,3.84,2.68,1.59,2.84,2.95
Emerging Market Gateway,Ground Handling Resilience,1029,28.8,44.9,2.07,2.06,1.79,1.4,4.86,4.68
Emerging Market Gateway,Commercial Space Allocation,1355,37.6,61.8,4.29,2.49,1.68,4.25,4.48,3.9
Emerging Market Gateway,Non-Aeronautical Revenue Strategy,308,22.1,371.1,1.9,3.81,4.47,1.6,3.23,3.89
Emerging Market Gateway,Sustainability & Energy Systems,1046,36.8,441.0,1.74,2.22,3.17,2.0,4.76,3.8
Emerging Market Gateway,Data & Digital Platform Governance,493,21.1,219.7,1.64,2.95,2.57,4.82,4.71,3.75
Emerging Market Gateway,Airline Incentives & Charging Models,72,35.0,175.3,1.91,3.82,2.47,1.04,4.93,4.91
